framework,expt_form_enthalpy,dft_formation_energy,dreiding_formation_energy
MEL,8.2,10.365870391225714,-4.59213204502199
MWW,10.4,12.35267316385989,6.187546082801605
IFR,10.0,11.165002582448434,-8.676534697445867
ITE,10.1,11.79409781707738,-1.0038487482250873
AST,10.9,14.138416726998294,-21.397559813989584
STT,9.2,12.218515148043254,-2.9078385987476243
CHA,11.4,13.53597092690117,2.08098462782543
BEA,9.3,12.204189053571708,18.46242389829939
MFI,6.8,9.922021073428626,-2.9993623110789804
CFI,8.8,13.047070692121572,-19.93775051367957
ISV,14.4,14.258224208076747,6.976160622708488
AFI,7.2,11.423608244788255,-21.17482263504141
MTW,8.7,10.42687034767095,-25.740145321057003
FAU,13.6,14.004951319295884,-16.816052520079413
FER,6.6,10.927389424591237,10.964495796583122
