job,crystal_id,framework,stoichiometry,energies,Si_count,formation_E
35296704,59490944,PUN,O72Si36,-31.645161245887852,36,19.52038572609257
78516488,137469541,ETV,O28Si14,-12.345866561292853,14,12.128671422588955
35323177,59490878,IWV-supercell,O304Si152,-133.93480422013448,152,13.960177715782207
35296586,59490777,AET,O144Si72,-63.49947911850174,72,11.893430652474231
35296599,59490796,ATS,O48Si24,-21.166125889167763,24,11.933595372150858
35323185,59490962,SBE,O256Si128,-112.78915422227597,128,13.920166149528514
35296647,59490861,IFY,O96Si48,-42.285334829278156,48,14.499854937432366
35296648,59490864,IRN,O184Si92,-81.07857341621391,92,13.595722275234634
35296740,59490990,STW,O120Si60,-52.84917739565455,60,14.827654804840074
35296634,59490845,EZT,O96Si48,-42.32823678008166,48,12.153207428786741
78516489,139497436,BEB,O128Si64,-56.43531409735784,64,12.248994814096848
78516486,137469539,PTY,O20Si10,-8.817454322273536,10,12.396943178278372
35323174,59490872,ITR,O224Si112,-98.81324500294966,112,11.043015073376907
78516480,59490997,THO,O20Si10,-8.79952997291252,10,17.102981461500097
35323188,59490982,SOV,O256Si128,-112.81794362586031,128,13.32964595524283
35296645,59490857,IFR,O64Si32,-28.23086891261736,32,11.165002582448434
35296689,59490921,MWW,O144Si72,-63.4868851522854,72,12.35267316385989
35296628,59490837,EPI,O48Si24,-21.16916193472944,24,11.601464612592766
35296742,59490992,SVV,O112Si56,-49.40484835016476,56,11.126194263009202
35296630,59490840,ETL,O144Si72,-63.53118672400885,72,10.737203921912517
35296705,59490946,PWO,O40Si20,-17.633297203554974,20,12.608485110630385
35296688,59490918,MTW,O56Si28,-24.709882209033196,28,10.42687034767095
35296710,59490951,RSN,O72Si36,-31.682784328726825,36,16.776513183916617
35296739,59490989,STT,O128Si64,-56.436057079067545,64,12.218515148043254
78516496,203995252,PTT,O48Si24,-21.15991581247719,24,12.612951938530378
35296656,59490873,ITT,O92Si46,-40.50906239507954,46,15.320807925198707
78516459,59490833,EDI,O10Si5,-4.399459507281135,5,17.26338858857741
35296750,59491135,UOE,O24Si12,-10.582887133872543,12,11.972061293632647
35296728,59490973,SFS,O112Si56,-49.41420775326183,56,10.68738864330872
78516485,137469538,SYT,O264Si128,-112.74358688568003,128,14.85483061316992
35296680,59490906,MFI,O192Si96,-84.73805568691935,96,9.922021073428626
35296715,59490957,SAF,O128Si64,-56.51670726321387,64,8.909967107321313
35296738,59490987,STI,O144Si72,-63.49990476515828,72,11.877909327726073
35323182,59490916,MTN,O272Si136,-119.81941536108111,136,14.288141587329314
78516467,59490919,MVY,O24Si12,-10.551058111223805,12,18.93598673780485
35296668,59490891,LIO,O72Si36,-31.739811713996875,36,12.617473977472113
35296754,59491185,UTL,O152Si76,-67.0135373684499,76,12.366386530114529
35323186,59490965,SBT,O288Si144,-126.869669881967,144,14.250698721959814
35296621,59490825,CZP,O48Si24,-21.055041729473754,24,24.085740517711294
35296731,59490979,SOF,O80Si40,-35.241752058556116,40,14.239074888044192
35296655,59490871,ITN,O109Si54,-47.65218392214341,54,10.552744099090805
78516482,59491187,VET,O34Si17,-15.02366166973598,17,7.147591921214146
78516450,59490792,AST,O80Si40,-35.243285604979704,40,14.138416726998294
35296748,59491053,UEI,O96Si48,-42.33449035288585,48,11.811149998617626
35296632,59490843,EWS,O192Si96,-84.6197638652084,96,13.157179423016816
35296615,59490816,CFI,O64Si32,-28.207929977206295,32,13.047070692121572
35296617,59490818,CGS,O64Si32,-28.204665217915505,32,13.31493400996285
35296698,59490937,PCR,O120Si60,-52.967987156602,60,9.628737286015406
78516453,59490795,ATO,O72Si36,-31.78038324270423,36,9.658569623709473
35296633,59490844,EWT,O146Si70,-62.20061476449991,70,-5.547769649967797
35296636,59490848,FER,O72Si36,-31.76298560059712,36,10.927389424591237
35296650,59490866,IRY,O154Si76,-66.89865472309336,76,16.335128745379663
78516476,59490955,RWR,O64Si32,-28.22975650187274,32,11.256272414713612
35296758,59491192,WEN,O39Si20,-17.047904239717955,20,89.45595229226473
35296666,59490889,LAU,O48Si24,-21.174652419542458,24,11.000828405314786
35296637,59490849,FRA,O120Si60,-52.91312273491577,60,12.029513121183491
35296712,59490953,RTH,O64Si32,-28.223561227435997,32,11.76457536073612
35296627,59490836,EON,O120Si60,-52.922021615895375,60,11.640112891321179
35323168,59490834,EEI,O400Si200,-176.40628874238027,200,11.646019968395915
35296711,59490952,RTE,O48Si24,-21.175553930050107,24,10.90220690455905
35296646,59490860,IFW,O128Si64,-56.44803075812175,64,11.727313636300156
35296752,59491182,UOZ,O80Si40,-35.26047604272775,40,13.010079283358673
35296665,59490888,KFI,O192Si96,-84.6060065669361,96,13.533427228906206
35296587,59490778,AFG,O96Si48,-42.3228046410427,48,12.450334139895375
78516446,59490772,ABW,O16Si8,-7.054441838115569,8,12.23994473268248
35296745,59490996,TER,O160Si80,-70.5833641568529,80,10.961792959155302
35323179,59490896,LTF,O216Si108,-95.23799777869239,108,12.16621280735189
35296672,59490897,LTJ,O32Si16,-14.107103026357166,16,12.532138270197636
35296697,59490935,PAR,O68Si32,-28.316869742006897,32,4.108902746123589
35296582,59490771,ZON,O64Si32,-28.21367162810571,32,12.575986142598184
78516464,59490894,LOV,O36Si18,-15.8418694612538,18,16.7068941238513
44685387,143738221,CHA_12T,O24Si12,-10.576046767960657,12,13.468676466110058
35296609,59490809,BOZ,O184Si92,-80.6799974322993,92,24.970301900049993
35296651,59490867,ISV,O128Si64,-56.38633650397784,64,14.258224208076747
35296675,59490901,MAZ,O72Si36,-31.746117871386073,36,12.157562380623082
35296589,59490781,AFO,O80Si40,-35.32213129556594,40,8.963182316915802
35296693,59490930,OFF,O36Si18,-15.869574606635995,18,12.665790527074675
