SMILES,rotational_entropy,one_dim_trans_entropy,symmetry
CCCCCN,0.11746224331774441,0.05688323499815936,1.0
Cc1ccncc1,0.11619267943497946,0.05715832433680575,1.0
NCCOCCO,0.12187555817578803,0.05766250768937029,1.0
CCNCC,0.11188092354808966,0.056153837896053826,1.0
CCCCN,0.11231428196253362,0.056153837896053826,1.0
c1ccncc1,0.1047621197546522,0.05647966681266969,2.0
NCCCCN,0.11724230973825503,0.056930090898261586,1.0
NCCNCCO,0.1221939170679741,0.05762341603722881,1.0
CCNC,0.10514245897975787,0.05526864777719593,1.0
CCCCO,0.11212859249961453,0.05620939570023065,1.0
NCCCc1ccccc1,0.12904101733946569,0.05870832106533027,1.0
C[n+]1cc[nH]c1,0.1116260352658424,0.056685345843162704,1.0
Cn1ccnc1,0.11114772591975161,0.05663461903835099,1.0
OCCOCCO,0.11594249338709067,0.05770123517310455,2.0
c1cc(-c2ccncc2)ccn1,0.11933345415658113,0.05930792390453868,4.0
NCCCNCCCN,0.12873724492596825,0.0585838911383088,1.0
NCCN,0.0999640095312486,0.0553375575977868,2.0
NCCCCCCCN,0.12913865532021485,0.0585524722161698,1.0
C[NH2+]C,0.09228254531315994,0.05423444142874769,2.0
NCCNCCN,0.1223159259284474,0.05758395330280292,1.0
CN(C)Cc1ccccc1,0.12780773751317837,0.05870832106533027,1.0
Oc1ccccc1O,0.12011699877670845,0.05785471216612558,1.0
OCCNCCO,0.12206465246411373,0.05766250768937029,1.0
CC[N@+]1(C)CCCC[C@H]1C,0.12741908704247845,0.05891979701780648,1.0
CC[N@@+]1(C)CCCC[C@@H]1C,0.12770981891481603,0.05891979701780648,1.0
CC[N@+]1(C)CCCC[C@@H]1C,0.12747311278778722,0.05891979701780648,1.0
CC[N@@+]1(C)CCCC[C@H]1C,0.12747317562016164,0.05891979701780648,1.0
C[N+](C)(C)CC1(c2ccccc2)CCCCC1,0.1409505209978277,0.060959845105097554,1.0
CC(C)[C@]12C=C[C@](C)(CC1)[C@@H]1C[N+](C)(C)C[C@H]12,0.1401957666141701,0.06099575370287066,1.0
CC(C)[C@@]12C=C[C@@](C)(CC1)[C@@H]1C[N+](C)(C)C[C@@H]12,0.13977190044209956,0.06099575370287066,1.0
CC(C)[C@]12C=C[C@](C)(CC1)[C@H]1C[N+](C)(C)C[C@H]12,0.1399606260696809,0.06099575370287066,1.0
CC(C)[C@]12C=C[C@](C)(CC1)[C@H]1C[N+](C)(C)C[C@@H]12,0.1401952493074267,0.06099575370287066,1.0
CC(C)[C@@]12C=C[C@@](C)(CC1)[C@@H]1C[N+](C)(C)C[C@H]12,0.14019522383626815,0.06099575370287066,1.0
CC(C)[C@]12C=C[C@](C)(CC1)[C@@H]1C[N+](C)(C)C[C@@H]12,0.1399911507059578,0.06099575370287066,1.0
CC(C)[C@@]12C=C[C@@](C)(CC1)[C@H]1C[N+](C)(C)C[C@H]12,0.13999103869878646,0.06099575370287066,1.0
CC(C)[C@@]12C=C[C@@](C)(CC1)[C@H]1C[N+](C)(C)C[C@@H]12,0.14019585253578895,0.06099575370287066,1.0
CC[N+]1(C)CC2CCC(CC2)C1,0.1309752573120758,0.05961851673167251,1.0
CC[N@+]1(C)C[C@H]2CC[C@H](CC2)C1,0.13097559053221253,0.05961851673167251,1.0
Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.13832860766940017,0.06036261830942754,1.0
C[N+]1(C)[C@H]2CCC[C@@H]1CCC2,0.12179777329654273,0.05925674538373383,2.0
C1CC[N+]2(CC1)CC[C@@H]1CCCC[C@H]1C2,0.1378693900646857,0.06050624645206155,1.0
C1CC[N+]2(CC1)CC[C@H]1CCCC[C@H]1C2,0.13743663399039735,0.06050624645206155,1.0
C1CC[N+]2(CC1)CC[C@@H]1CCCC[C@@H]1C2,0.13743652966748343,0.06050624645206155,1.0
C1CC[N+]2(CC1)CC[C@H]1CCCC[C@@H]1C2,0.1378694321479348,0.06050624645206155,1.0
Cc1cccc(C[n+]2ccn(C)c2C)c1,0.13812553639340333,0.06036261830942754,1.0
CC[C@@H]1CCCC[N+]12CCCCC2,0.13439699533200963,0.059951310798306144,1.0
CC[C@H]1CCCC[N+]12CCCCC2,0.1338451576223736,0.059951310798306144,1.0
CC(C)N(CCCCCN(C(C)C)C(C)C)C(C)C,0.14948048254470045,0.06159120087854538,1.0
CC1(C)[C@H]2CC[C@]1(C)C[N+](C)(C)C2,0.13219924695499216,0.059951310798306144,1.0
CC1(C)[C@@H]2CC[C@@]1(C)C[N+](C)(C)C2,0.13219932881011195,0.059951310798306144,1.0
CC[N+]1(CC)CCC[C@H](C)C1,0.13081478751834152,0.059310717734076666,1.0
CC[N+]1(CC)CCC[C@@H](C)C1,0.13072000736663905,0.059310717734076666,1.0
C[C@@H](N)CN,0.11148486995502227,0.05620962003650052,1.0
C[C@H](N)CN,0.1118006910419553,0.05620962003650052,1.0
c1ccc(C[N+]23CCN(CC2)CC3)cc1,0.1371819810950934,0.060404046913652636,1.0
CN1CCCC1,0.11352523807831254,0.056785956032507974,1.0
C[N+]1(C)C[C@H]2[C@@H]3C[N+](C)(C)C[C@@H]3[C@H]2C1,0.1303225959394202,0.0602590039110625,2.0
C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,0.13032264980987074,0.0602590039110625,2.0
C[C@H]1CC[N@+]2(CCC[C@@H]3CCCC[C@H]32)CC1,0.1393103411522156,0.060777086052553254,1.0
CC1CC[N+]2(CCC[C@H]3CCCC[C@@H]32)CC1,0.139514044025885,0.060777086052553254,1.0
C[C@H]1CC[N@@+]2(CCC[C@@H]3CCCC[C@H]32)CC1,0.13951392462054493,0.060777086052553254,1.0
C[C@H]1CC[N@@+]2(CCC[C@H]3CCCC[C@H]32)CC1,0.1392275930084947,0.060777086052553254,1.0
CC1CC[N+]2(CCC[C@H]3CCCC[C@H]32)CC1,0.13913583424157117,0.060777086052553254,1.0
