Code,V_occ
ABW,158.1
ACO,218.1
AEI,273.9
AEL,123.2
AEN,121.4
AET,193.6
AFG,189.5
AFI,226
AFN,186.3
AFO,147.5
AFR,292.3
AFS,325.3
AFT,272.6
AFX,272.7
AFY,350.5
AHT,117.2
ANA,82.3
APC,160.5
APD,162.2
AST,244.2
ASV,153.4
ATN,187.8
ATO,159
ATS,263.9
ATT,200.4
ATV,132.4
AWO,153.9
AWW,202.9
BCT,118.8
BEA,290.1
BEC,293.5
BIK,145.7
BOG,267.8
BPH,330.2
BRE,170.2
CAN,215.1
CAS,118.3
CDO,167.2
CFI,218.6
CGF,166.1
CGS,198.4
CHA,276.6
CON,274
CZP,105.2
DAC,199.3
DDR,184.4
DFO,311.2
DFT,199.9
DOH,205.6
DON,232
EAB,233.4
EDI,190
EMT,368.7
EON,205.8
EPI,190.9
ERI,234.9
ESV,174
ETR,285.5
EUO,198.7
EZT,199.6
FAR,183.4
FAU,370
FER,198.8
FRA,222.4
GIS,211.8
GIU,189.8
GME,283.9
GON,162.4
GOO,143.7
HEU,206.7
IFR,239.6
IHW,170
IMF,202.8
ISV,305
ITE,251.8
ITH,204.8
ITW,186.8
IWR,278.5
IWV,308.2
IWW,243.1
JBW,121.9
KFI,292
LAU,178.9
LEV,239.9
LIO,169.2
LOS,201.8
LOV,186.5
LTA,311.4
LTL,243.4
LTN,198
MAR,170.5
MAZ,230.2
MEI,314.5
MEL,206.6
MEP,167.3
MER,233.3
MFI,177.4
MFS,189.8
MON,167.5
MOR,223
MOZ,228.4
MSE,250.5
MSO,172.3
MTF,145.5
MTN,189
MTT,168.9
MTW,169.6
MWW,270.4
NAB,205.9
NAT,231.3
NES,235.9
NON,172
NPO,120.5
NSI,116.1
OBW,354.9
OFF,241.3
OSI,194.9
OSO,334.8
OWE,216.8
PAU,236.8
PHI,217
PON,158.8
RHO,313.5
RRO,171.9
RSN,213
RTE,207.4
RTH,257.5
RUT,163.6
RWR,123.9
RWY,546.5
SAO,343.8
SAS,279.7
SAT,216.6
SAV,281.6
SBE,357.6
SBS,353.1
SBT,350.4
SFE,191
SFF,228
SFG,179.4
SFH,211.5
SFN,243.1
SFO,303
SGT,194.9
SIV,216
SOD,205.2
SOS,204
SSY,199.1
STF,244.3
STI,230.4
STT,278.6
SZR,189.1
TER,208.5
THO,224.6
TOL,160.5
TON,175.3
TSC,376.4
TUN,208.2
UEI,166.2
UFI,290.6
UOZ,127.5
USI,278.4
UTL,296.6
VET,135.2
VFI,341.7
VNI,151.6
VSV,190.1
WEI,204.7
YUG,176.1
ZON,159.6
