sisso_model,dectree_rank,logistic_rank,average_rank
sisso_00000,21879,12931,17405.0
sisso_00001,27441,18559,23000.0
sisso_00002,9370,702,5036.0
sisso_00003,46797,46956,46876.5
sisso_00004,33572,48233,40902.5
sisso_00005,5852,25354,15603.0
sisso_00006,22349,25645,23997.0
sisso_00007,20353,3700,12026.5
sisso_00008,27984,31953,29968.5
sisso_00009,49443,38024,43733.5
sisso_00010,18289,15492,16890.5
sisso_00011,44195,47377,45786.0
sisso_00012,38986,19317,29151.5
sisso_00013,9563,17137,13350.0
sisso_00014,12736,4178,8457.0
sisso_00015,44293,34773,39533.0
sisso_00016,19224,3578,11401.0
sisso_00017,49818,4090,26954.0
sisso_00018,40599,26517,33558.0
sisso_00019,24946,29614,27280.0
sisso_00020,8045,7804,7924.5
sisso_00021,39447,47378,43412.5
sisso_00022,45587,38641,42114.0
sisso_00023,48138,18041,33089.5
sisso_00024,24774,5914,15344.0
sisso_00025,41444,31491,36467.5
sisso_00026,23684,7487,15585.5
sisso_00027,23369,39514,31441.5
sisso_00028,39230,29830,34530.0
sisso_00029,36091,1856,18973.5
sisso_00030,25842,20113,22977.5
sisso_00031,3476,9841,6658.5
sisso_00032,35098,5915,20506.5
sisso_00033,9564,7642,8603.0
sisso_00034,9941,5309,7625.0
sisso_00035,33342,46380,39861.0
sisso_00036,25118,45780,35449.0
sisso_00037,35099,2495,18797.0
sisso_00038,38232,46647,42439.5
sisso_00039,13662,9497,11579.5
sisso_00040,13427,8999,11213.0
sisso_00041,16143,49990,33066.5
sisso_00042,32444,7643,20043.5
sisso_00043,29581,5658,17619.5
sisso_00044,48869,5041,26955.0
sisso_00045,11444,6527,8985.5
sisso_00046,31785,2940,17362.5
sisso_00047,14686,6528,10607.0
sisso_00048,24017,26518,25267.5
sisso_00049,25654,48674,37164.0
sisso_00050,29389,34669,32029.0
sisso_00051,40944,3102,22023.0
sisso_00052,9942,19558,14750.0
sisso_00053,41741,45781,43761.0
sisso_00054,3328,4919,4123.5
sisso_00055,45149,2380,23764.5
sisso_00056,22037,30695,26366.0
sisso_00057,38745,47504,43124.5
sisso_00058,40047,22121,31084.0
sisso_00059,38503,20114,29308.5
sisso_00060,12279,8517,10398.0
sisso_00061,29778,21825,25801.5
sisso_00062,44563,29118,36840.5
sisso_00063,14412,7644,11028.0
sisso_00064,9565,5173,7369.0
sisso_00065,12957,7158,10057.5
sisso_00066,47213,6206,26709.5
sisso_00067,11213,5659,8436.0
sisso_00068,48201,46805,47503.0
sisso_00069,4319,7318,5818.5
sisso_00070,32219,3701,17960.0
sisso_00071,13428,4812,9120.0
sisso_00072,43245,16719,29982.0
sisso_00073,38233,45782,42007.5
sisso_00074,47684,45123,46403.5
sisso_00075,31346,22396,26871.0
sisso_00076,9371,8661,9016.0
sisso_00077,48904,12756,30830.0
sisso_00078,8391,44569,26480.0
sisso_00079,35865,14074,24969.5
sisso_00080,546,3946,2246.0
sisso_00081,32653,11840,22246.5
sisso_00082,41445,43952,42698.5
sisso_00083,17111,6663,11887.0
sisso_00084,20668,3334,12001.0
sisso_00085,13175,11272,12223.5
sisso_00086,31144,26814,28979.0
sisso_00087,26730,35883,31306.5
sisso_00088,39448,16915,28181.5
sisso_00089,49737,36531,43134.0
sisso_00090,4072,3849,3960.5
sisso_00091,4073,5431,4752.0
