,syn,E_F,dE_Oa,dE_Om,dE_S,dE_fOa,dE_fOm,dE_fS,lC_Oa,lC_Om,lC_S,lD_Oa,lD_Om,lD_S,lC_fOa,lC_fS,lD_fS
1789,0.0,11.423608244788255,-4.82320550722426,-159.16578173840057,-6.631907572433358,3.484873216258108,115.00081613651756,4.7917006723548985,-6.715731266693196,-19.175291938466597,-6.702615547052847,-4.140014642059918,-11.341565409180172,-5.086752335793747,-6.766390053499496,-6.702615547052848,-4.580686436579466
35520,0.0,12.815528268615251,-2.830705524965401,-87.75187127392743,-9.75020791932527,0.8899317143099946,27.587883143609837,3.0653203492899816,-6.623158468276953,-41.95793917960793,-6.729988977174749,-4.819630012933995,-33.22233135379018,-4.224236803056073,-5.876114926851729,-6.729988977174749,-4.207760456329953
26782,0.0,11.165002582448434,-3.451603186011561,-141.515730626474,-8.844733164154627,0.9054709925049008,37.12431069270093,2.320269418293808,-7.237293503651636,-30.1624432646346,-7.236389640625266,-4.202300089208944,-20.7402086029021,-3.7063452066149294,-6.854404854716332,-7.236389640625267,-3.2146827830503795
21009,0.0,14.228484056742175,-3.670473603109249,-183.52368015546244,-3.8234100032388008,9.98887109136324,499.443554568162,10.405074053503377,-7.102983367897147,-34.82739498334477,-8.305171138788413,-3.829998608113628,-25.05279422185856,-4.670679957355098,-8.364410794940484,-8.305171138788413,-5.03867586037416
66119,0.0,11.599314407176578,-1.4563860582326142,-58.25544232930457,-3.640965145581536,3.183339704638017,127.33358818552068,7.958349261595043,-7.729007061293366,-51.13275712411888,-8.357089325796217,-4.870933885733614,-46.29605725365053,-5.26549428798049,-7.193707411729936,-8.357089325796217,-4.943062105199465
21542,0.0,14.228484056742175,-4.692185053141244,-103.22807116910737,-10.75292408011535,1.5166079898007958,33.36537577561751,3.475559976626824,-6.795774276332245,-58.97074885549354,-6.2215987911585815,-4.588559154755821,-20.716473703353262,-4.156882884512844,-5.816963322517298,-6.2215987911585815,-4.671965724068649
56546,0.0,13.761567110032695,-2.1806618699596774,-104.67176975806451,-2.1806618699596783,11.580905240073015,555.8834515235048,11.580905240073015,-7.581070299503735,-41.38892082927979,-8.83953264035778,-4.421476517913061,-50.67294063013655,-5.802942120630183,-9.457573030498136,-8.83953264035778,-6.001326021942273
7182,0.0,19.789439176903944,-4.609313368929117,-175.15390801930644,-10.947119251206653,3.723082073977807,141.47711881115666,8.842319925697291,-6.853076425984551,-30.39995002454377,-6.9817375595652456,-3.995532239043071,-8.245687996312476,-3.3433989552126104,-6.947272878088018,-6.9817375595652456,-5.492312578737396
70375,0.0,13.804467411201635,-4.254151877825131,-182.92853074648065,-5.716516585827518,6.018940149115621,258.8144264119717,8.087950825374115,-7.003885009589659,-34.62349812759486,-6.972841333531313,-3.838244320878809,-9.851498544525173,-4.384331584750973,-6.815811619991482,-6.972841333531313,-4.709908279895204
30658,0.0,10.91743908157626,-5.083826670149371,-162.68245344477987,-5.810087623027853,4.468932526229857,143.0058408393554,5.107351458548408,-6.521274114326793,-25.09542093614263,-6.679317041847509,-4.352123832176319,-18.02370841572484,-5.0148034918724,-6.787465525250392,-6.679317041847509,-4.507998900836258
